train_loss_step,train_acc_step,epoch,step,val_loss_step,val_acc_step,avg_val_loss,avg_val_acc
0.6937724351882935,0.0,0,0,,,,
0.6937972903251648,0.0,0,1,,,,
0.6934449672698975,0.0,0,2,,,,
0.6933420896530151,0.0,0,3,,,,
0.6930667161941528,0.0,0,4,,,,
0.6928946375846863,0.0,0,5,,,,
,,0,5,0.6926611065864563,0.0,0.6926611065864563,0.0
0.6924870014190674,0.0,1,6,,,,
0.6925023198127747,0.0,1,7,,,,
0.6921308040618896,0.0,1,8,,,,
0.6920102834701538,0.0,1,9,,,,
0.6917168498039246,0.0,1,10,,,,
0.6915363669395447,0.0,1,11,,,,
,,1,11,0.6912378668785095,0.0,0.6912378668785095,0.0
0.6910563707351685,0.0,2,12,,,,
0.6910140514373779,0.0,2,13,,,,
0.6906035542488098,0.0,2,14,,,,
0.6904187798500061,0.0,2,15,,,,
0.6900601983070374,0.0,2,16,,,,
0.6898360848426819,0.0,2,17,,,,
,,2,17,0.6894086003303528,0.0,0.6894086003303528,0.0
0.6892219185829163,0.0,3,18,,,,
0.6890866160392761,0.0,3,19,,,,
0.6885370016098022,0.0,3,20,,,,
0.6881997585296631,0.0,3,21,,,,
0.6876947283744812,0.0,3,22,,,,
0.6873213052749634,0.0,3,23,,,,
,,3,23,0.6866241693496704,0.0,0.6866241693496704,0.0
0.6864346265792847,0.0,4,24,,,,
0.6860454678535461,0.0,4,25,,,,
0.6851894855499268,0.0,4,26,,,,
0.6845198273658752,0.0,4,27,,,,
0.6836026906967163,0.0390625,4,28,,,,
0.6827898621559143,0.01666666753590107,4,29,,,,
,,4,29,0.6814776659011841,0.03846153989434242,0.6814776659011841,0.03846153989434242
0.6812648177146912,0.0625,5,30,,,,
0.6802128553390503,0.0078125,5,31,,,,
0.6785271167755127,0.0,5,32,,,,
0.6768577098846436,0.015625,5,33,,,,
0.6748265624046326,0.0078125,5,34,,,,
0.6727762222290039,0.0,5,35,,,,
,,5,35,0.6695749163627625,0.012820512987673283,0.6695749163627625,0.012820512987673283
0.6693302392959595,0.0234375,6,36,,,,
0.6661985516548157,0.0078125,6,37,,,,
0.6618382930755615,0.0,6,38,,,,
0.6567431688308716,0.015625,6,39,,,,
0.6507395505905151,0.0078125,6,40,,,,
0.6434661746025085,0.0,6,41,,,,
,,6,41,0.6335700750350952,0.012820512987673283,0.6335700750350952,0.012820512987673283
0.633280873298645,0.0234375,7,42,,,,
0.6220599412918091,0.0078125,7,43,,,,
0.6073117256164551,0.0,7,44,,,,
0.5898652672767639,0.015625,7,45,,,,
0.5699241161346436,0.0078125,7,46,,,,
0.5489382743835449,0.0,7,47,,,,
,,7,47,0.5225486159324646,0.012820512987673283,0.5225486159324646,0.012820512987673283
0.5224665999412537,0.0234375,8,48,,,,
0.4975828528404236,0.0078125,8,49,,,,
0.4706714451313019,0.0,8,50,,,,
0.4456980526447296,0.015625,8,51,,,,
0.42222368717193604,0.0078125,8,52,,,,
0.40424296259880066,0.0,8,53,,,,
,,8,53,0.37701907753944397,0.012820512987673283,0.37701907753944397,0.012820512987673283
0.3764311671257019,0.0234375,9,54,,,,
0.35783296823501587,0.0078125,9,55,,,,
0.3382265865802765,0.0,9,56,,,,
0.32085511088371277,0.015625,9,57,,,,
0.3057134747505188,0.0078125,9,58,,,,
0.30177798867225647,0.0,9,59,,,,
,,9,59,0.276021808385849,0.012820512987673283,0.276021808385849,0.012820512987673283
,,10,60,0.276021808385849,0.012820512987673283,0.276021808385849,0.012820512987673283
